timestamp,gyro_z,mag_heading,gps_lat,gps_lon,vehicle_speed,gnss_available
2026-09-11T12:00:00Z,0.010,0.0,6.524379,3.379206,8.0,True
2026-09-11T12:00:01Z,0.010,0.6,6.524451,3.379206,8.0,True
2026-09-11T12:00:02Z,0.011,1.2,6.524523,3.379207,8.0,True
2026-09-11T12:00:03Z,0.011,1.8,6.524595,3.379209,8.0,True
2026-09-11T12:00:04Z,0.012,2.5,6.524667,3.379212,8.0,True
2026-09-11T12:00:05Z,0.012,3.2,6.524739,3.379216,8.0,True
2026-09-11T12:00:06Z,0.013,3.9,6.524811,3.379221,8.0,False
2026-09-11T12:00:07Z,0.013,4.6,6.524883,3.379227,8.0,False
2026-09-11T12:00:08Z,0.014,5.3,6.524955,3.379234,8.0,False
2026-09-11T12:00:09Z,0.014,6.0,6.525027,3.379242,8.0,False
2026-09-11T12:00:10Z,0.015,6.7,6.525099,3.379251,8.0,False
2026-09-11T12:00:11Z,0.015,7.4,6.525171,3.379261,8.0,False
2026-09-11T12:00:12Z,0.016,8.1,6.525243,3.379272,8.0,False
2026-09-11T12:00:13Z,0.016,8.8,6.525315,3.379284,8.0,False
2026-09-11T12:00:14Z,0.017,9.5,6.525387,3.379297,8.0,True
2026-09-11T12:00:15Z,0.017,10.2,6.525459,3.379311,8.0,True
2026-09-11T12:00:16Z,0.018,10.9,6.525531,3.379326,8.0,True
2026-09-11T12:00:17Z,0.018,11.6,6.525603,3.379342,8.0,True
2026-09-11T12:00:18Z,0.019,12.3,6.525675,3.379359,8.0,True
2026-09-11T12:00:19Z,0.019,13.0,6.525747,3.379377,8.0,True
